Vitamine,per porzione,% RDA
Vitamina A,"< 0,1 mg","5,5 %"
Vitamina B1,"9,4 mg","850,1 %"
Vitamina B11,"0,0 mg","0,0 %"
Vitamina B12,"< 0,1 mg","439,0 %"
Vitamina B2,"4,0 mg","283,8 %"
Vitamina B3,"122,2 mg","763,6 %"
Vitamina B5,"15,8 mg","264,1 %"
Vitamina B6,"15,8 mg","1.125,7 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"< 0,1 mg","0,2 %"
Vitamina E,"2,6 mg","22,0 %"
Vitamina K,"0,0 mg","0,0 %"
