Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,3 mg","30,3 %"
Vitamina B11,"< 0,1 mg","3,2 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,1 mg","7,3 %"
Vitamina B3,"4,0 mg","24,8 %"
Vitamina B5,"1,5 mg","25,4 %"
Vitamina B6,"0,2 mg","14,1 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
