Minerali,per porzione,% RDA
Calcio,"15,8 mg","1,6 %"
Rame,"< 0,1 mg","6,3 %"
Ferro,"0,9 mg","6,2 %"
Magnesio,"9,0 mg","3,0 %"
Manganese,"0,2 mg","9,1 %"
Fosforo,"56,3 mg","8,0 %"
Potassio,"57,8 mg","2,9 %"
Selenio,"< 0,1 mg","6,2 %"
Zinco,"0,4 mg","5,2 %"
