Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"1,4 mg","123,1 %"
Vitamina B11,"0,3 mg","76,4 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"1,0 mg","68,1 %"
Vitamina B3,"10,0 mg","62,5 %"
Vitamina B5,"1,0 mg","16,1 %"
Vitamina B6,"0,2 mg","12,3 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,4 mg","3,6 %"
Vitamina K,"0,0 mg","0,0 %"
