Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,3 mg","24,3 %"
Vitamina B11,"< 0,1 mg","8,7 %"
Vitamina B12,"< 0,1 mg","278,6 %"
Vitamina B2,"0,5 mg","33,4 %"
Vitamina B3,"28,9 mg","180,7 %"
Vitamina B5,"2,1 mg","35,0 %"
Vitamina B6,"2,1 mg","151,8 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"1,5 mg","12,6 %"
Vitamina K,"< 0,1 mg","< 0,1 %"
