Valori nutrizionali,per porzione,% RDA
Valore calorico,586 kcal 2.452 kJ,"29,3 %"
Grassi,"22,9 g","35,3 %"
Grassi saturi,"4,7 g","21,5 %"
Grassi monoinsaturi,"9,1 g","31,2 %"
Grassi polinsaturi,"7,8 g","51,7 %"
Carboidrati,"59,8 g","22,3 %"
Zuccheri,"13,3 g","26,5 %"
Proteine,"35,3 g","48,3 %"
Fibre alimentari,"3,4 g","1,1 %"
Colesterolo,"72,0 mg","240,0 %"
Sodio,"1,2 g","0,2 %"
Acqua,"116,7 g","5,8 %"
