Valori nutrizionali,per porzione,% RDA
Valore calorico,239 kcal 1.000 kJ,"11,9 %"
Grassi,"0,9 g","1,4 %"
Grassi saturi,"0,2 g","0,8 %"
Grassi monoinsaturi,"0,2 g","0,8 %"
Grassi polinsaturi,"0,3 g","2,0 %"
Carboidrati,"53,7 g","20,0 %"
Zuccheri,"20,2 g","40,4 %"
Proteine,"12,1 g","16,5 %"
Fibre alimentari,"10,4 g","3,5 %"
Colesterolo,"0,0 mg","0,0 %"
Sodio,"0,9 g","0,2 %"
Acqua,"182,9 g","9,1 %"
