Valori nutrizionali,per porzione,% RDA
Valore calorico,5.292 kcal 22.157 kJ,"264,6 %"
Grassi,"322,7 g","496,5 %"
Grassi saturi,"109,3 g","496,9 %"
Grassi monoinsaturi,"139,0 g","479,4 %"
Grassi polinsaturi,"62,7 g","417,8 %"
Carboidrati,"0,0 g","0,0 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"560,3 g","767,5 %"
Fibre alimentari,"0,0 g","0,0 %"
Colesterolo,"1.936,7 mg","6.455,7 %"
Sodio,"2,2 g","0,4 %"
Acqua,"1.351,9 g","67,6 %"
