Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,8 mg","76,6 %"
Vitamina B11,"0,4 mg","92,4 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,3 mg","21,9 %"
Vitamina B3,"3,2 mg","19,7 %"
Vitamina B5,"2,4 mg","40,2 %"
Vitamina B6,"0,7 mg","49,6 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
