Minerali,per porzione,% RDA
Calcio,"30,5 mg","3,1 %"
Rame,"< 0,1 mg","9,4 %"
Ferro,"2,3 mg","15,1 %"
Magnesio,"27,0 mg","9,0 %"
Manganese,"0,3 mg","12,6 %"
Fosforo,"56,1 mg","8,0 %"
Potassio,"311,0 mg","15,5 %"
Selenio,"< 0,1 mg","2,1 %"
Zinco,"0,1 mg","2,0 %"
