Minerali,per porzione,% RDA
Calcio,"400,2 mg","40,0 %"
Rame,"< 0,1 mg","1,5 %"
Ferro,"< 0,1 mg","0,5 %"
Magnesio,"24,4 mg","8,1 %"
Manganese,"< 0,1 mg","1,6 %"
Fosforo,"207,4 mg","29,6 %"
Potassio,"317,2 mg","15,9 %"
Selenio,"< 0,1 mg","18,7 %"
Zinco,"1,1 mg","15,7 %"
