Minerali,per porzione,% RDA
Calcio,"34,2 mg","3,4 %"
Rame,"< 0,1 mg","0,4 %"
Ferro,"< 0,1 mg","0,3 %"
Magnesio,"13,1 mg","4,4 %"
Manganese,"0,1 mg","5,5 %"
Fosforo,"2,1 mg","0,3 %"
Potassio,"24,7 mg","1,2 %"
Selenio,"< 0,1 mg","< 0,1 %"
Zinco,"< 0,1 mg","0,4 %"
