Valori nutrizionali,per porzione,% RDA
Valore calorico,167 kcal 700 kJ,"8,4 %"
Grassi,"5,0 g","7,8 %"
Grassi saturi,"1,1 g","4,9 %"
Grassi monoinsaturi,"1,4 g","4,8 %"
Grassi polinsaturi,"2,2 g","14,9 %"
Carboidrati,"22,6 g","8,4 %"
Zuccheri,"3,7 g","7,4 %"
Proteine,"8,6 g","11,7 %"
Fibre alimentari,"2,0 g","0,7 %"
Colesterolo,"2,5 mg","8,2 %"
Sodio,"1,3 g","0,2 %"
Acqua,"204,1 g","10,2 %"
