Valori nutrizionali,per porzione,% RDA
Valore calorico,367 kcal  1.537 kJ,"18,4 %"
Grassi,"1,4 g","2,2 %"
Grassi saturi,"0,5 g","2,3 %"
Carboidrati,"76,0 g","28,4 %"
Zuccheri,"11,8 g","23,6 %"
Proteine,"9,2 g","12,6 %"
Sale,"1,1 g","19,0 %"
Fibre alimentari,"6,8 g","2,3 %"
