Valori nutrizionali,per porzione,% RDA
Valore calorico,100 kcal 419 kJ,"5,0 %"
Grassi,"4,3 g","6,7 %"
Grassi saturi,"1,2 g","5,6 %"
Grassi monoinsaturi,"0,6 g","1,9 %"
Grassi polinsaturi,"1,1 g","7,7 %"
Carboidrati,"0,0 g","0,0 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"14,3 g","19,6 %"
Fibre alimentari,"0,0 g","0,0 %"
Colesterolo,"343,4 mg","1.144,8 %"
Sodio,"< 0,1 g","< 0,1 %"
Acqua,"33,9 g","1,7 %"
