Valori nutrizionali,per porzione,% RDA
Valore calorico,100 kcal 417 kJ,"5,0 %"
Grassi,"4,5 g","6,9 %"
Grassi saturi,"2,0 g","9,1 %"
Grassi monoinsaturi,"2,0 g","6,7 %"
Grassi polinsaturi,"0,3 g","2,3 %"
Carboidrati,"9,1 g","3,4 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"6,2 g","8,5 %"
Fibre alimentari,"0,5 g","0,2 %"
Colesterolo,"9,7 mg","32,4 %"
Sodio,"0,9 g","0,2 %"
Acqua,"219,8 g","11,0 %"
