Valori nutrizionali,per porzione,% RDA
Valore calorico,58 kcal 244 kJ,"2,9 %"
Grassi,"2,9 g","4,4 %"
Grassi saturi,"0,9 g","3,9 %"
Grassi monoinsaturi,"0,9 g","3,1 %"
Grassi polinsaturi,"1,0 g","6,8 %"
Carboidrati,"7,9 g","3,0 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"0,8 g","1,0 %"
Fibre alimentari,"0,7 g","0,2 %"
Colesterolo,"0,0 mg","0,0 %"
Sodio,"< 0,1 g","< 0,1 %"
Acqua,"0,4 g","< 0,1 %"
