Minerali,per porzione,% RDA
Calcio,"15,0 mg","1,5 %"
Rame,"< 0,1 mg","9,5 %"
Ferro,"0,6 mg","3,8 %"
Magnesio,"9,6 mg","3,2 %"
Manganese,"< 0,1 mg","4,5 %"
Fosforo,"30,3 mg","4,3 %"
Potassio,"224,7 mg","11,2 %"
Selenio,"< 0,1 mg","0,6 %"
Zinco,"< 0,1 mg","0,9 %"
