Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"2,4 mg","214,0 %"
Vitamina B11,"< 0,1 mg","11,0 %"
Vitamina B12,"< 0,1 mg","1.324,7 %"
Vitamina B2,"2,1 mg","148,2 %"
Vitamina B3,"18,7 mg","116,7 %"
Vitamina B5,"0,0 mg","0,0 %"
Vitamina B6,"1,9 mg","134,0 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"2,0 mg","16,3 %"
Vitamina K,"< 0,1 mg","< 0,1 %"
