Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"4,1 mg","376,1 %"
Vitamina B11,"0,0 mg","0,0 %"
Vitamina B12,"< 0,1 mg","207,5 %"
Vitamina B2,"3,3 mg","232,5 %"
Vitamina B3,"60,5 mg","377,9 %"
Vitamina B5,"8,1 mg","135,1 %"
Vitamina B6,"7,4 mg","531,8 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"< 0,1 mg","0,6 %"
Vitamina E,"4,8 mg","40,0 %"
Vitamina K,"0,0 mg","0,0 %"
