Minerali,per porzione,% RDA
Calcio,"0,0 mg","0,0 %"
Rame,"< 0,1 mg","6,2 %"
Ferro,"1,0 mg","6,5 %"
Magnesio,"5,0 mg","1,7 %"
Manganese,"< 0,1 mg","0,9 %"
Fosforo,"82,0 mg","11,7 %"
Potassio,"33,0 mg","1,7 %"
Selenio,"< 0,1 mg","76,7 %"
Zinco,"1,1 mg","15,0 %"
