Minerali,per porzione,% RDA
Calcio,"23,4 mg","2,3 %"
Rame,"0,3 mg","34,2 %"
Ferro,"0,9 mg","6,0 %"
Magnesio,"5,4 mg","1,8 %"
Manganese,"0,5 mg","23,6 %"
Fosforo,"106,2 mg","15,2 %"
Potassio,"959,4 mg","48,0 %"
Selenio,"< 0,1 mg","4,8 %"
Zinco,"2,0 mg","28,3 %"
