Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,4 mg","36,9 %"
Vitamina B11,"0,1 mg","34,3 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,2 mg","16,0 %"
Vitamina B3,"1,3 mg","7,9 %"
Vitamina B5,"0,9 mg","14,3 %"
Vitamina B6,"0,2 mg","14,2 %"
Vitamina C,"19,6 mg","24,4 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
