Minerali,per porzione,% RDA
Calcio,"9,0 mg","0,9 %"
Rame,"< 0,1 mg","7,7 %"
Ferro,"0,4 mg","2,5 %"
Magnesio,"28,2 mg","9,4 %"
Manganese,"0,0 mg","0,0 %"
Fosforo,"90,6 mg","12,9 %"
Potassio,"76,2 mg","3,8 %"
Selenio,"< 0,1 mg","16,4 %"
Zinco,"0,5 mg","6,9 %"
