Minerali,per porzione,% RDA
Calcio,"2,3 mg","0,2 %"
Rame,"< 0,1 mg","2,3 %"
Ferro,"0,2 mg","1,4 %"
Magnesio,"0,0 mg","0,0 %"
Manganese,"< 0,1 mg","2,3 %"
Fosforo,"0,0 mg","0,0 %"
Potassio,"13,9 mg","0,7 %"
Selenio,"< 0,1 mg","0,8 %"
Zinco,"< 0,1 mg","1,0 %"
