Minerali,per porzione,% RDA
Calcio,"21,1 mg","2,1 %"
Rame,"< 0,1 mg","6,6 %"
Ferro,"0,9 mg","6,2 %"
Magnesio,"24,6 mg","8,2 %"
Manganese,"< 0,1 mg","0,6 %"
Fosforo,"230,5 mg","32,9 %"
Potassio,"416,5 mg","20,8 %"
Selenio,"< 0,1 mg","129,5 %"
Zinco,"2,0 mg","29,1 %"
