Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,0 mg","0,0 %"
Vitamina B11,"0,0 mg","0,0 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,0 mg","0,0 %"
Vitamina B3,"0,0 mg","0,0 %"
Vitamina B5,"0,0 mg","0,0 %"
Vitamina B6,"0,0 mg","0,0 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"< 0,1 mg","< 0,1 %"
Vitamina E,"5,5 mg","46,1 %"
Vitamina K,"0,0 mg","0,0 %"
