Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,6 mg","55,6 %"
Vitamina B11,"0,0 mg","0,0 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"2,0 mg","145,7 %"
Vitamina B3,"22,8 mg","142,6 %"
Vitamina B5,"0,0 mg","0,0 %"
Vitamina B6,"0,0 mg","0,0 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
