Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,4 mg","33,8 %"
Vitamina B11,"0,4 mg","91,6 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,1 mg","8,7 %"
Vitamina B3,"0,9 mg","5,7 %"
Vitamina B5,"0,4 mg","7,1 %"
Vitamina B6,"0,1 mg","10,2 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
