Minerali,per porzione,% RDA
Calcio,"17,2 mg","1,7 %"
Rame,"0,4 mg","42,7 %"
Ferro,"3,5 mg","23,0 %"
Magnesio,"96,3 mg","32,1 %"
Manganese,"2,1 mg","104,5 %"
Fosforo,"304,4 mg","43,5 %"
Potassio,"347,4 mg","17,4 %"
Selenio,"< 0,1 mg","172,0 %"
Zinco,"3,0 mg","43,5 %"
