Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"1,1 mg","103,2 %"
Vitamina B11,"1,1 mg","266,8 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,3 mg","20,3 %"
Vitamina B3,"4,7 mg","29,2 %"
Vitamina B5,"2,5 mg","42,1 %"
Vitamina B6,"0,6 mg","43,1 %"
Vitamina C,"2,5 mg","3,1 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
