Minerali,per porzione,% RDA
Calcio,"310,8 mg","31,1 %"
Rame,"0,6 mg","63,0 %"
Ferro,"3,0 mg","20,1 %"
Magnesio,"65,1 mg","21,7 %"
Manganese,"0,5 mg","25,8 %"
Fosforo,"319,7 mg","45,7 %"
Potassio,"1.166,2 mg","58,3 %"
Selenio,"< 0,1 mg","25,7 %"
Zinco,"1,9 mg","27,1 %"
