Minerali,per porzione,% RDA
Calcio,"50,0 mg","5,0 %"
Rame,"< 0,1 mg","4,2 %"
Ferro,"1,1 mg","7,4 %"
Magnesio,"43,0 mg","14,3 %"
Manganese,"< 0,1 mg","2,5 %"
Fosforo,"194,0 mg","27,7 %"
Potassio,"155,0 mg","7,8 %"
Selenio,"< 0,1 mg","113,3 %"
Zinco,"0,5 mg","6,9 %"
