Minerali,per porzione,% RDA
Calcio,"60,1 mg","6,0 %"
Rame,"0,2 mg","23,1 %"
Ferro,"4,7 mg","31,2 %"
Magnesio,"34,6 mg","11,5 %"
Manganese,"0,5 mg","23,7 %"
Fosforo,"233,0 mg","33,3 %"
Potassio,"353,1 mg","17,7 %"
Selenio,"< 0,1 mg","134,7 %"
Zinco,"1,9 mg","26,8 %"
