Minerali,per porzione,% RDA
Calcio,"0,6 mg","< 0,1 %"
Rame,"< 0,1 mg","2,1 %"
Ferro,"0,3 mg","1,7 %"
Magnesio,"11,5 mg","3,8 %"
Manganese,"< 0,1 mg","4,5 %"
Fosforo,"28,6 mg","4,1 %"
Potassio,"26,3 mg","1,3 %"
Selenio,"0,0 mg","0,0 %"
Zinco,"0,2 mg","3,5 %"
