Minerali,per porzione,% RDA
Calcio,"69,7 mg","7,0 %"
Rame,"0,3 mg","34,1 %"
Ferro,"7,0 mg","46,4 %"
Magnesio,"85,1 mg","28,4 %"
Manganese,"< 0,1 mg","1,7 %"
Fosforo,"777,9 mg","111,1 %"
Potassio,"1.261,6 mg","63,1 %"
Selenio,"0,1 mg","372,8 %"
Zinco,"18,5 mg","264,8 %"
