Minerali,per porzione,% RDA
Calcio,"67,8 mg","6,8 %"
Rame,"0,8 mg","75,4 %"
Ferro,"18,5 mg","123,4 %"
Magnesio,"135,7 mg","45,2 %"
Manganese,"0,0 mg","0,0 %"
Fosforo,"1.109,2 mg","158,5 %"
Potassio,"1.747,6 mg","87,4 %"
Selenio,"< 0,1 mg","242,1 %"
Zinco,"9,1 mg","130,0 %"
