Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,2 mg","14,5 %"
Vitamina B11,"0,2 mg","60,9 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,2 mg","15,0 %"
Vitamina B3,"2,1 mg","13,1 %"
Vitamina B5,"0,2 mg","3,6 %"
Vitamina B6,"< 0,1 mg","6,9 %"
Vitamina C,"3,6 mg","4,5 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
