Minerali,per porzione,% RDA
Calcio,"7,6 mg","0,8 %"
Rame,"0,1 mg","13,6 %"
Ferro,"0,2 mg","1,5 %"
Magnesio,"5,2 mg","1,7 %"
Manganese,"< 0,1 mg","2,8 %"
Fosforo,"16,0 mg","2,3 %"
Potassio,"120,8 mg","6,0 %"
Selenio,"< 0,1 mg","1,2 %"
Zinco,"0,2 mg","3,5 %"
