Minerali,per porzione,% RDA
Calcio,"57,0 mg","5,7 %"
Rame,"0,2 mg","19,7 %"
Ferro,"1,5 mg","10,2 %"
Magnesio,"30,4 mg","10,1 %"
Manganese,"0,3 mg","13,3 %"
Fosforo,"100,7 mg","14,4 %"
Potassio,"133,0 mg","6,7 %"
Selenio,"< 0,1 mg","37,7 %"
Zinco,"0,7 mg","9,4 %"
