Valori nutrizionali,per porzione,% RDA
Valore calorico,234 kcal 978 kJ,"11,7 %"
Grassi,"0,7 g","1,0 %"
Grassi saturi,"< 0,1 g","0,2 %"
Grassi monoinsaturi,"< 0,1 g","0,3 %"
Grassi polinsaturi,"0,3 g","2,2 %"
Carboidrati,"59,8 g","22,3 %"
Zuccheri,"55,4 g","110,9 %"
Proteine,"1,4 g","1,9 %"
Fibre alimentari,"4,3 g","1,4 %"
Colesterolo,"0,0 mg","0,0 %"
Sodio,"< 0,1 g","< 0,1 %"
Acqua,"191,4 g","9,6 %"
