Valori nutrizionali,per porzione,% RDA
Valore calorico,246 kcal 1.029 kJ,"12,3 %"
Grassi,"10,8 g","16,7 %"
Grassi saturi,"6,6 g","29,9 %"
Grassi monoinsaturi,"3,0 g","10,2 %"
Grassi polinsaturi,"0,5 g","3,5 %"
Carboidrati,"32,5 g","12,1 %"
Zuccheri,"22,6 g","45,3 %"
Proteine,"5,6 g","7,7 %"
Fibre alimentari,"1,5 g","0,5 %"
Colesterolo,"38,2 mg","127,3 %"
Sodio,"0,1 g","< 0,1 %"
Acqua,"115,6 g","5,8 %"
