Minerali,per porzione,% RDA
Calcio,"1,3 mg","0,1 %"
Rame,"< 0,1 mg","2,3 %"
Ferro,"1,2 mg","8,0 %"
Magnesio,"1,7 mg","0,6 %"
Manganese,"< 0,1 mg","1,1 %"
Fosforo,"22,8 mg","3,3 %"
Potassio,"12,4 mg","0,6 %"
Selenio,"< 0,1 mg","20,0 %"
Zinco,"0,3 mg","4,0 %"
