Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,2 mg","20,0 %"
Vitamina B11,"0,3 mg","63,3 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"< 0,1 mg","2,9 %"
Vitamina B3,"1,2 mg","7,4 %"
Vitamina B5,"0,7 mg","11,5 %"
Vitamina B6,"0,2 mg","11,8 %"
Vitamina C,"1,8 mg","2,2 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
