Valori nutrizionali,per porzione,% RDA
Valore calorico,456 kcal 1.909 kJ,"22,8 %"
Grassi,"7,6 g","11,7 %"
Grassi saturi,"1,2 g","5,5 %"
Carboidrati,"53,2 g","19,9 %"
Zuccheri,"3,2 g","6,4 %"
Proteine,"30,0 g","41,1 %"
Sale,"2,8 g","46,7 %"
Fibre alimentari,"25,2 g","8,4 %"
