Valori nutrizionali,per porzione,% RDA
Valore calorico,527 kcal 2.207 kJ,"26,4 %"
Grassi,"36,3 g","55,9 %"
Grassi saturi,"8,2 g","37,3 %"
Grassi monoinsaturi,"6,6 g","22,7 %"
Grassi polinsaturi,"5,6 g","37,4 %"
Carboidrati,"0,0 g","0,0 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"46,4 g","63,5 %"
Fibre alimentari,"0,0 g","0,0 %"
Colesterolo,"9.748,6 mg","32.495,5 %"
Sodio,"0,3 g","< 0,1 %"
Acqua,"289,9 g","14,5 %"
