Valori nutrizionali,per porzione,% RDA
Valore calorico,42 kcal 177 kJ,"2,1 %"
Grassi,"0,5 g","0,8 %"
Grassi saturi,"< 0,1 g","0,3 %"
Grassi monoinsaturi,"< 0,1 g","0,3 %"
Grassi polinsaturi,"0,2 g","1,5 %"
Carboidrati,"9,9 g","3,7 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"0,8 g","1,0 %"
Fibre alimentari,"3,7 g","1,2 %"
Colesterolo,"0,0 mg","0,0 %"
Sodio,"< 0,1 g","< 0,1 %"
Acqua,"90,2 g","4,5 %"
