Valori nutrizionali,per porzione,% RDA
Valore calorico,35 kcal 146 kJ,"1,7 %"
Grassi,"0,6 g","0,9 %"
Grassi saturi,"0,1 g","0,5 %"
Grassi monoinsaturi,"< 0,1 g","0,2 %"
Grassi polinsaturi,"0,2 g","1,6 %"
Carboidrati,"5,6 g","2,1 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"3,9 g","5,4 %"
Fibre alimentari,"2,9 g","1,0 %"
Colesterolo,"0,0 mg","0,0 %"
Sodio,"0,3 g","< 0,1 %"
Acqua,"133,6 g","6,7 %"
