Valori nutrizionali,per porzione,% RDA
Valore calorico,419 kcal 1.756 kJ,"21,0 %"
Grassi,"20,1 g","30,9 %"
Grassi saturi,"2,9 g","13,2 %"
Grassi monoinsaturi,"4,4 g","15,3 %"
Grassi polinsaturi,"11,4 g","75,7 %"
Carboidrati,"30,4 g","11,4 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"36,8 g","50,4 %"
Fibre alimentari,"7,5 g","2,5 %"
Colesterolo,"0,0 mg","0,0 %"
Sodio,"< 0,1 g","< 0,1 %"
Acqua,"0,7 g","< 0,1 %"
