Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,4 mg","33,0 %"
Vitamina B11,"< 0,1 mg","15,9 %"
Vitamina B12,"< 0,1 mg","181,4 %"
Vitamina B2,"1,2 mg","87,5 %"
Vitamina B3,"42,7 mg","267,1 %"
Vitamina B5,"4,9 mg","80,9 %"
Vitamina B6,"2,1 mg","149,0 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"1,4 mg","11,3 %"
Vitamina K,"< 0,1 mg","< 0,1 %"
