Minerali,per porzione,% RDA
Calcio,"22,7 mg","2,3 %"
Rame,"0,5 mg","49,0 %"
Ferro,"3,6 mg","23,9 %"
Magnesio,"117,9 mg","39,3 %"
Manganese,"0,1 mg","6,6 %"
Fosforo,"997,9 mg","142,6 %"
Potassio,"1.664,7 mg","83,2 %"
Selenio,"< 0,1 mg","136,1 %"
Zinco,"10,4 mg","149,0 %"
