Valori nutrizionali,per porzione,% RDA
Valore calorico,115 kcal 481 kJ,"5,7 %"
Grassi,"5,1 g","7,9 %"
Grassi saturi,"0,6 g","2,7 %"
Grassi monoinsaturi,"1,4 g","4,8 %"
Grassi polinsaturi,"2,9 g","19,0 %"
Carboidrati,"15,3 g","5,7 %"
Zuccheri,"8,2 g","16,3 %"
Proteine,"2,6 g","3,6 %"
Fibre alimentari,"1,0 g","0,3 %"
Colesterolo,"0,0 mg","0,0 %"
Sodio,"< 0,1 g","< 0,1 %"
Acqua,"0,6 g","< 0,1 %"
