Minerali,per porzione,% RDA
Calcio,"47,0 mg","4,7 %"
Rame,"0,2 mg","21,9 %"
Ferro,"0,4 mg","2,7 %"
Magnesio,"24,0 mg","8,0 %"
Manganese,"0,5 mg","23,3 %"
Fosforo,"73,0 mg","10,4 %"
Potassio,"103,0 mg","5,2 %"
Selenio,"< 0,1 mg","7,3 %"
Zinco,"0,6 mg","8,0 %"
