Valori nutrizionali,per porzione,% RDA
Valore calorico,334 kcal 1.398 kJ,"16,7 %"
Grassi,"1,0 g","1,5 %"
Grassi saturi,"0,2 g","0,9 %"
Carboidrati,"94,2 g","35,1 %"
Zuccheri,"84,6 g","169,2 %"
Proteine,"2,0 g","2,7 %"
Sale,"< 0,1 g","0,3 %"
Fibre alimentari,"9,6 g","3,2 %"
