Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,1 mg","12,1 %"
Vitamina B11,"0,1 mg","30,1 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"< 0,1 mg","5,9 %"
Vitamina B3,"0,6 mg","3,9 %"
Vitamina B5,"0,6 mg","10,4 %"
Vitamina B6,"0,2 mg","15,7 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
