Minerali,per porzione,% RDA
Calcio,"247,7 mg","24,8 %"
Rame,"1,5 mg","154,8 %"
Ferro,"9,8 mg","65,0 %"
Magnesio,"304,2 mg","101,4 %"
Manganese,"1,8 mg","89,7 %"
Fosforo,"725,4 mg","103,6 %"
Potassio,"2.597,4 mg","129,9 %"
Selenio,"< 0,1 mg","82,6 %"
Zinco,"7,1 mg","101,1 %"
