Minerali,per porzione,% RDA
Calcio,"0,4 mg","< 0,1 %"
Rame,"< 0,1 mg","< 0,1 %"
Ferro,"< 0,1 mg","0,1 %"
Magnesio,"0,5 mg","0,2 %"
Manganese,"0,0 mg","0,0 %"
Fosforo,"0,7 mg","0,1 %"
Potassio,"4,3 mg","0,2 %"
Selenio,"< 0,1 mg","< 0,1 %"
Zinco,"< 0,1 mg","< 0,1 %"
