Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,9 mg","78,8 %"
Vitamina B11,"0,2 mg","58,4 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,4 mg","31,5 %"
Vitamina B3,"6,2 mg","38,5 %"
Vitamina B5,"0,6 mg","10,5 %"
Vitamina B6,"0,1 mg","7,7 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
