Minerali,per porzione,% RDA
Calcio,"5,1 mg","0,5 %"
Rame,"0,1 mg","11,6 %"
Ferro,"2,7 mg","17,7 %"
Magnesio,"18,7 mg","6,2 %"
Manganese,"< 0,1 mg","0,8 %"
Fosforo,"181,9 mg","26,0 %"
Potassio,"265,2 mg","13,3 %"
Selenio,"< 0,1 mg","100,3 %"
Zinco,"3,2 mg","45,7 %"
