Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,2 mg","20,2 %"
Vitamina B11,"0,3 mg","87,3 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,4 mg","26,1 %"
Vitamina B3,"3,5 mg","21,9 %"
Vitamina B5,"0,5 mg","8,5 %"
Vitamina B6,"0,4 mg","28,8 %"
Vitamina C,"67,8 mg","84,8 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"1,2 mg","9,9 %"
Vitamina K,"0,2 mg","0,2 %"
