Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (110g),Pani,Cereali e patate,Cibi a base vegetale,Cibi e bevande a base vegetale
Grassi,"11,2 g","12,3 g","+39%8,05 g","+80%6,21 g","+5%10,7 g","+17%9,61 g"
- Acidi Grassi saturi,"1,3 g","1,43 g","-41%2,2 g","-23%1,68 g","-45%2,35 g","-38%2,11 g"
Carboidrati,"50,5 g","55,5 g","-14%58,6 g","-16%59,9 g","+6%47,6 g","+15%43,9 g"
- Zuccheri,3 g,"3,3 g","-8%3,25 g","-54%6,57 g","-65%8,57 g","-66%8,8 g"
Fibra alimentare,"2,7 g","2,97 g","-42%4,64 g","-43%4,71 g","-38%4,35 g","-33%4,03 g"
Proteine,"7,5 g","8,25 g","-17%9,02 g","-21%9,47 g","-3%7,75 g","+7%6,98 g"
Sale,"1,3 g","1,43 g","-25%1,74 g","+78%0,732 g","+119%0,594 g","+143%0,534 g"
Sodio,"0,512 g","0,563 g","-25%0,685 g","+78%0,288 g","+119%0,234 g","+143%0,21 g"
Nutrition score - France,4,4,"-49%7,89","+30%3,08","+29%3,1","+3%3,88"
Nutri-Score,C,C,C,C,C,C
