,0,1,2,3
1,Proteine(%): 6.2,,,
2,Lisina:,223,3.6,
3,Istidina:,135,2.18,
4,Arginina:,304,4.9,
5,Acido aspartico:,500,8.06,
6,Treonina:,253,4.08,
7,Serina:,405,6.53,
8,Acido glutamico:,1912,30.84,
9,Prolina:,579,9.34,
10,Glicina:,232,3.74,
11,Alanina:,259,4.18,
12,Cistina:,177,2.85,
13,Valina:,374,6.03,
14,Metionina:,104,1.68,
15,Isoleucina:,304,4.9,
16,Leucina:,560,9.03,
17,Tirosina:,248,4,
18,Fenilalanina:,345,5.56,
19,Triptofano:,80,1.29,
20,Indice Chimico:,62,,
21,Aminoacido limitante:,Lis.,,
