Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,2 mg","18,7 %"
Vitamina B11,"< 0,1 mg","15,7 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,2 mg","11,2 %"
Vitamina B3,"3,8 mg","24,0 %"
Vitamina B5,"0,4 mg","6,2 %"
Vitamina B6,"< 0,1 mg","6,9 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
