,0,1,2,3
1,Proteine(%): 20,,,
2,Lisina:,1622,8.11,
3,Istidina:,542,2.71,
4,Arginina:,1346,6.73,
5,Acido aspartico:,1686,8.43,
6,Treonina:,938,4.69,
7,Serina:,846,4.23,
8,Acido glutamico:,2770,13.85,
9,Prolina:,998,4.99,
10,Glicina:,1200,6,
11,Alanina:,1280,6.4,
12,Cistina:,260,1.3,
13,Valina:,1000,5,
14,Metionina:,478,2.39,
15,Isoleucina:,1038,5.19,
16,Leucina:,1532,7.66,
17,Tirosina:,654,3.27,
18,Fenilalanina:,794,3.97,
19,Triptofano:,254,1.27,
20,Indice Chimico:,100,,
21,Aminoacido limitante:,Trip.,,
